aiganym;zhandaulet;female;Almaty;2017-09-26;aiganym-ka@mail.ru
alfakjkl;asfhksajflkdsa;male;New-York;2017-09-02;aiganym7777@gmail.com
kjfsdlka;sfkdkjflksa;female;Almaty;2017-09-09;aiganym-ka@mail.ru
gdsjkahd;fhksf;female;Almaty;2017-09-26;aiganym-ka@mail.ru
aiganymus;aiganymus;male;Tokyo;2017-09-02;aiganym-ka@mail.ru
fkajflkjfldsfjls;fdjfklsajl;female;New-York;2017-09-11;aiganym7777@gmail.com
aiganym;aiganymus23;male;Tokyo;2017-09-10;aiganym7777@gmail.com
my name;my surname;male;Seoul;2017-06-08;fhskh@Khk.sfhks
my name;my surname;male;Seoul;2017-06-08;fhskh@Khk.sfhks
hewllo;world;male;Tokyo;2017-09-26;aiganym-ka@mail.ru
